label,text
spam,GENTWearetryingtocontactyouLastweekendsdrawshowsthatyouwona1000prizeGUARANTEEDCall09064012160ClaimCodeK52Valid12hrsonly150ppm
ham,WauropeninsentenceveryformalAnywayimfinetoojuzttimeatintoomuchnputtinonweightHahaSoanythinspecialhappened
ham,AsIenteredmycabinmyPAsaidHappyBdayBossIfeltspecialSheaskdme4lunchAfterlunchsheinvitedmetoherapartmentWewentthere
spam,YouareawinnerUhavebeenspeciallyselected2receive1000ora4holidayflightsincspeaktoaliveoperator2claim0871277810910pmin18
ham,GoodoYeswemustspeakfridayeggpotatoratiofortortillaneeded
ham,HmmmyunclejustinformedmethathespayingtheschooldirectlySoplsbuyfood
spam,PRIVATEYour2004AccountStatementfor07742676969shows786unredeemedBonusPointsToclaimcall08719180248IdentifierCode45239Expires
spam,URGENTYourMobileNowasawarded2000BonusCallerPrizeon5903ThisisourfinaltrytocontactUCallfromLandline09064019788BOX42WR29C150PPM
ham,hereismynewaddressapplespairsallthatmalarky
spam,TodaysVodanumbersending7548areselectedtoreceivea350awardIfyouhaveamatchpleasecall08712300220quotingclaimcode4041standardratesapp
ham,IamgoingtosaomutodayWillbedoneonlyat12
ham,Üpredictwattimeüllfinishbuying
ham,Goodstuffwilldo
ham,JustsothatyouknowyetundehasntsentmoneyyetIjustsentheratextnottobothersendingSoitsoveryoudonthavetoinvolveyourselfinanythingIshouldnthaveimposedanythingonyouinthefirstplacesoforthatiapologise
ham,Areyouthereinroom
ham,HEYGIRLHOWRUHOPEURWELLMEANDELRBAKAGAINLONGTIMENOCGIVEMEACALLSUMTIMEFROMLUCYxx
ham,Kkhowmuchdoesitcost
ham,Imhome
ham,DearwillcallTmorrowplsaccomodate
ham,Firstanswermyquestion
spam,SunshineQuizWklyQWinatopSonyDVDplayerifuknowwhichcountrytheAlgarveisinTxtansrto82277150SPTyrone
spam,Want2getlaidtonightWantrealDogginglocationssentdirect2urmobJointheUKslargestDoggingNetworkbtTxtingGRAVELto69888Ntec2a31pmsg150p
ham,IonlyhafmsnItsyijuehotmailcom
ham,HeisthereYoucallandmeethim
ham,NonoIwillcheckallroomsbeforactivities
spam,YoullnotrcvanymoremsgsfromthechatsvcForFREEHardcoreservicestextGOto69988IfugetnothingumustAgeVerifywithyrnetworktryagain
ham,GotcIlazytotypeIforgotüinlectIsawapouchbutlikenotvnice
ham,Ktextmewhenyoureontheway
ham,SirWaitingforyourmail
ham,AswtthoughtNvergettiredofdoinglittlethings4lovablepersonsCozsomtimesthoselittlethingsoccupydbiggestpartintheirHeartsGudni8
ham,IknowyouareCanyouplsopentheback
ham,Yesseeyanotonthedot
ham,Whatsthestaffnamewhoistakingclassforus
spam,FreeMsgWhyhaventyourepliedtomytextImRandysexyfemaleandlivelocalLuvtohearfromuNetcollexLtd08700621170150ppermsgreplyStoptoend
ham,Ummmawillcallaftercheckinourlifewillbeginfromqatarsoplsprayveryhard
ham,Kideletedmycontactthatwhy
ham,Sindugotjobinbirlasoft
ham,Thewineisflowingandimihavenevering
ham,Yupithkcineisbettercosnoneed2godown2plazamah
ham,OkUrtypicalreply
ham,AsperyourrequestMelleMelleOruMinnaminunginteNurunguVettamhasbeensetasyourcallertuneforallCallersPress9tocopyyourfriendsCallertune
ham,YouareeverywheredirtonthefloorthewindowsevenonmyshirtAndsometimeswheniopenmymouthyouareallthatcomesflowingoutIdreamofmyworldwithoutyouthenhalfmychoresareouttooAtimeofjoyformelotsoftvshowsillseeButiguesslikeallthingsyoujustmustexistlikerainhailandmistandwhenmytimehereisdoneyouandibecomeone
ham,Aaoooorightareyouatwork
ham,Imleavingmyhousenow
ham,HellomyloveWhatareyoudoingDidyougettothatinterviewtodayAreyouyouhappyAreyoubeingagoodboyDoyouthinkofmeAreyoumissingme
spam,CustomerserviceannoncementYouhaveaNewYearsdeliverywaitingforyouPleasecall07046744435nowtoarrangedelivery
spam,YouareawinnerUhavebeenspeciallyselected2receive1000cashora4holidayflightsincspeaktoaliveoperator2claim0871277810810
ham,KeepyourselfsafeformebecauseIneedyouandImissyoualreadyandIenvyeveryonethatseesyouinreallife
ham,Newcarandhouseformyparentsihaveonlynewjobinhand
ham,ImsoinlovewithyouImexcitedeachdayispendwithyouYoumakemesohappy
spam,PLSSTOPbootydelious32FisinvitingyoutobeherfriendReplyYES434orNO434SeeherwwwSMSacubootydeliousSTOPSendSTOPFRNDto62468
spam,BangBabesUrorderisonthewayUSHOULDreceiveaServiceMsg2downloadURcontentIfUdonotGoTowapbangbtvonURmobileinternetservicemenu
ham,Iplaceallurpointsoneculturesmodulealready
spam,URGENTWearetryingtocontactyouLastweekendsdrawshowsthatyouhavewona900prizeGUARANTEEDCall09061701939ClaimcodeS89Valid12hrsonly
ham,Hifrndwhichisbestwaytoavoidmissunderstdingwitourbelovedones
ham,GreatescapeIfancythebridgebutneedsherlagerSeeyoutomo
ham,Yesitcompletelyinoutofformclarkalsoutterwaste
ham,SirIneedAXISBANKaccountnoandbankaddress
ham,HmmmThksuregottimetohopardYacango4freeabtMuzcallutodiscussliao
ham,Whattimeyoucomingdownlater
ham,BloodyhellcantbelieveyouforgotmysurnameMrIllgiveuaclueitsspanishandbeginswithm
ham,WellimgonnafinishmybathnowHaveagoodfinenight
ham,Letmeknowwhenyouvegotthemoneysocarloscanmakethecall
ham,Ustillgoingtothemall
ham,Turnsoutmyfriendsarestayingforthewholeshowandwontbebacktilltgtsofeelfreetogoaheadandsmokethatltgtworth
ham,TextherIfshedoesntreplyletmeknowsoicanhaveherlogin
ham,HiYoujustspoketoMANEESHAVWedliketoknowifyouweresatisfiedwiththeexperienceReplyTollFreewithYesorNo
ham,YouliftedmyhopeswiththeofferofmoneyIaminneedEspeciallywhentheendofthemonthapproachesandithurtsmystudyingAnywayshaveagr8weekend
ham,LolnoUcantrustme
ham,okIamagentlemanandwilltreatyouwithdignityandrespect
ham,Hewillyouguysclose
ham,Goingonnothinggreatbye
ham,HellohandsomeAreyoufindingthatjobNotbeinglazyWorkingtowardsgettingbackthatnetformummyWheresmyboytoynowDoeshemissme
ham,Hahaawesomebethereinaminute
spam,PleasecallourcustomerservicerepresentativeonFREEPHONE08081454742between9am11pmasyouhaveWONaguaranteed1000cashor5000prize
ham,HaveyougotXmasradiotimesIfnotiwillgetitnow
ham,IjusreachedhomeIgobathefirstButmysisusingnettelluwhenshefinishesk
spam,AreyouuniqueenoughFindoutfrom30thAugustwwwareyouuniquecouk
ham,ImsorryIvejoinedtheleagueofpeoplethatdontkeepintouchYoumeanagreatdealtomeYouhavebeenafriendatalltimesevenatgreatpersonalcostDohaveagreatweek
ham,Hifinallyicompletedthecourse
ham,ItwillstoponitselfIhoweversuggestshestayswithsomeonethatwillbeabletogiveorsforeverystool
ham,HowareyoudoingHopeyouvesettledinforthenewschoolyearJustwishinyouagr8day
ham,Gudmrngdearhavaniceday
ham,Didugotthatpersonsstory
ham,isyourhamsterdeadHeysotmrimeetyouat1pmorchardmrt
ham,HiitsKatehowisyoureveningIhopeicanseeyoutomorrowforabitbutihavetobloodybabyjontetTxtbackifucanxxx
ham,FounditENCltgtwhereyouat
ham,Isentyoultgtbucks
ham,HellodarlinivefinishedcollegenowsotxtmewhenufinishifucanloveKatexxx
ham,YouraccounthasbeenrefilledsuccessfullybyINRltDECIMALgtYourKeralaCircleprepaidaccountbalanceisRsltDECIMALgtYourTransactionIDisKRltgt
ham,Goodmorningsleepingga
ham,Ucallmealterat11ok
ham,Üsayuntillikedatidunbuyericssonosocannotoredilar
ham,AsIenteredmycabinmyPAsaidHappyBdayBossIfeltspecialSheaskdme4lunchAfterlunchsheinvitedmetoherapartmentWewentthere
ham,Aightyodatsstraightdogg
ham,YoupleasegiveusconnectiontodayitselfbeforeltDECIMALgtorrefundthebill
ham,Bothishootbigloadssogetready
ham,WhatsupbruvhopeyouhadagreatbreakDohavearewardingsemester
ham,Homesowecanalwayschat
ham,Kkgoodstudywell
ham,YupHowünoeleh
ham,SoundsgreatAreyouhomenow
ham,Finallythematchheadingtowardsdrawasyourprediction
ham,TiredIhaventsleptwellthepastfewnights
ham,Easyahsengotselectedmeansitsgood
ham,Ihavetotakeexamwithmarch3
ham,YeahyoushouldIthinkyoucanuseyourgtatmnowtoregisterNotsurebutiftheresanywayicanhelpletmeknowButwhenyoudobesureyouareready
ham,OknoprobTakeurtime
ham,Thereisoscalledubanduwhichwillrunwithoutinstallinginharddiskyoucanusethatostocopytheimportantfilesinsystemandgiveittorepairshop
ham,SorryIllcalllater
ham,UsaylehOfcoursenothinghappenlarNotsayvromanticjusabitonlylorIthkenitescenerynotsoniceleh
spam,500NewMobilesfrom2004MUSTGOTxtNOKIAtoNo89545collectyourstodayFromONLY1www4tcbiz2optout08718726270150gbpmtmsg18
ham,WouldreallyappreciateifyoucallmeJustneedsomeonetotalkto
spam,WillumeeturdreampartnersoonIsurcareeroff2aflyngstart2findoutfreetxtHOROfollowedbyurstarsignegHOROARIES
ham,Heycompanyelamapomudyadhu
ham,LifeismorestrictthanteacherBcozTeacherteacheslessonampthenconductsexamButLifefirstconductsExamampthenteachesLessonsHappymorning
ham,Deargoodmorningnowonlyiamup
ham,GetdowningandhipuramandwalktocrosscutroadRightsideltgtstreetroadandturnatfirstright
ham,Dearwearegoingtoourrubberplace
ham,SorrybatterydiedyeahImhere
ham,Yesheretvisalwaysavailableinworkplace
spam,TextmeetsomeonesexytodayUcanfindadateorevenflirtitsuptoUJoin4just10pREPLYwithNAMEAGEegSam2518msgrecdthirtyeightpence
ham,IhaveprinteditohSoltgtcomeupstairs
ham,Orillbealittlecloserlikeatthebusstoponthesamestreet
ham,Whereareyouwhenwilyoureachhere
ham,NewTheoryArgumentwinsdSITUATIONbutlosesthePERSONSodontarguewithurfriendsjustkickthemampsayImalwayscorrect
spam,U447801259231haveasecretadmirerwhoislooking2makecontactwithUfindoutwhotheyRrevealwhothinksURsospecialcallon09058094597
ham,Tomarrowfinalhearingonmylaptopcasesoicant
ham,PLEASSSSSSSEEEEEETELMEVAVENTDONESPORTSx
ham,OkayNonojustshiningonThatwasmeanttobesigningbutthatsoundsbetter
ham,AlthoughitoldudatimintobaigfacewatchesnowbutireallylikeewatchugavecositsfruThanx4everythingdatuvedonetodayimtouched
ham,Udontrememberthatoldcommercial
ham,ToolateIsaidihavethewebsiteIdidntihaveordonthavetheslippers
ham,Iaskedyoutocallhimnowok
ham,Kalliswontbatin2ndinnings
ham,ItdidntworkagainohOkgoodnightthenIllfixandhaveitreadybythetimeyouwakeupYouareverydearlymissedhaveagoodnightsleep
spam,Congratulationsurawarded500ofCDvouchersor125giftguaranteedFreeentry2100wklydrawtxtMUSICto87066TnCswwwLdewcom1win150ppmx3age16
ham,RanjithcaldrpdDeerajanddeepak5minhold
ham,WenurlovablebcumsangrywidudnttakeitseriouslyCozbeingangryisdmostchildishntruewayofshowingdeepaffectioncarenluvkettodamandaHavenicedayda
ham,Whatyoudoinghowareyou
ham,Upswhichis3daysalsoandtheshippingcompanythattakes2wksTheotherwayisuspswhichtakesaweekbutwhenitgetstolagyoumayhavetobribeniposttogetyourstuff
ham,Imbacklemmeknowwhenyoureready
ham,DontnecessarilyexpectittobedonebeforeyougetbackthoughbecauseImjustnowheadinout
ham,MmmsoyummybabeNicejolttothesuzy
ham,WhereareyouloverIneedyou
spam,WetriedtocontactyoureyourreplytoourofferofaVideoHandset750anytimenetworksminsUNLIMITEDTEXTCamcorderReplyorcall08000930705NOW
ham,ImparkednexttoaMINIWhenareyoucomingintodaydoyouthink
ham,Yup
ham,AnywayimgoingshoppingonmyownnowCosmysisnotdoneyetDundisturbuliao
ham,MYNOINLUTON0125698789RINGMEIFURAROUNDH
spam,HeyIamreallyhornywanttochatorseemenakedtexthotto69698textchargedat150pmtounsubscribetextstop69698
ham,WhyyouDintcomewithus
ham,SameWanaplanatripsometmethen
ham,Notsureyetstilltryingtogetaholdofhim
spam,Urringtoneservicehaschanged25FreecreditsGotoclub4mobilescomtochoosecontentnowStoptxtCLUBSTOPto87070150pwkClub4POBox1146MK452WT
ham,TheevoIjusthadtodownloadflashJealous
spam,RingtoneClubGettheUKsingleschartonyourmobileeachweekandchooseanytopqualityringtoneThismessageisfreeofcharge
ham,Cometomuweresortingoutournarcoticssituation
ham,NighthasendedforanotherdaymorninghascomeinaspecialwayMayyousmilelikethesunnyraysandleavesyourworriesatthebluebluebay
spam,HMVBONUSSPECIAL500poundsofgenuineHMVvoucherstobewonJustanswer4easyquestionsPlayNowSendHMVto86688Moreinfowww100percentrealcom
ham,UsfIguessmightaswelltake1car
ham,NoobjectionMybfnotcoming
ham,Thanx
ham,Tellrobtomackhisgfinthetheater
ham,AwesomeIllseeyouinabit
ham,JustsentitSowhattypeoffooddoyoulike
ham,AlldoneAllhandedinCelebrationsinfullswingyet
ham,Yougotcalledatool
ham,WenumisssomeonethepersonisdefinitelyspecialforuButifthepersonissospecialwhytomissthemjustKeepintouchgdeve
ham,OkIaskedformoneyhowfar
ham,Okie
ham,YeahIthinkmyusualguysstillpassedoutfromlastnightifyougetaholdofanybodyletmeknowandIllthrowdown
ham,KImightcomebytonightthenifmyclassletsoutearly
ham,Ok
ham,hibabyimcruisinwithmygirlfriendwhatruup2givemeacallinandhourathomeifthatsalrightorfonemeonthisfonenowlovejennyxxx
ham,MylifeMeansalottomeNotbecauseIlovemylifeButbecauseIlovethepeopleinmylifeTheworldcallsthemfriendsIcallthemmyWorldGe
ham,Dearshallmailtonitebusyinthestreetshallupdateyoutonitethingsarelookingokvarunnathuedukkukayeerakshaollubutagoodoneinrealsense
ham,Heyyoutoldyournametogauthamah
ham,HafufoundhimIfeelsostupiddavcamwasworking
ham,Oops4gotthatbit
ham,Areyouthismuchbuzy
ham,IaccidentallydeletedthemessageResendplease
spam,TMobilecustomeryoumaynowclaimyourFREECAMERAPHONEupgradeapaygosimcardforyourloyaltyCallon08450213680Offerends28thFebTCsapply
ham,UnlessitsasituationwhereYOUGOGURLwouldbemoreappropriate
ham,HurtmeTeasemeMakemecryButintheendofmylifewhenidieplzkeeponeroseonmygraveandsaySTUPIDIMISSUHAVEANICEDAYBSLVYL
ham,IcantpickthephonerightnowPlssendamessage
ham,NeedacoffeeruntomoCantbelieveitsthattimeofweekalready
ham,AwesomeIrememberthelasttimewegotsomebodyhighforthefirsttimewithdieselV
ham,ShitthatisreallyshockingandscarycantimagineforasecondDefupfornightoutDouthinkthereissomewhereicouldcrashfornightsaveontaxi
ham,OhandbythewayyoudohavemorefoodinyourfridgeWanttogooutforamealtonight
ham,Heisawomdarfullactor
spam,SMSacBlindDate4URodds1is21mfromAberdeenUnitedKingdomCheckHimouthttpimgsmsacWicmb3cktz8r74noBlindDatessendHIDE
ham,YupFromwhatirembIthinkshouldbecanbook
ham,Josaskifuwanameetup
ham,LolyesOurfriendshipishangingonathreadcauseuwontbuystuff
spam,TheMobCheckoutournewestselectionofcontentGamesTonesGossipbabesandsportKeepyourmobilefitandfunkytextWAPto82468
ham,WherearethegaragekeysTheyarentonthebookshelf
ham,TodayisACCEPTDAYUAcceptmeasBrotherSisterLoverDear1Best1Clos1LvblefrndJstfrndCutefrndLifpartnrBelovdSwtheartBstfrndNorplymeansenemy
spam,ThinkursmartWin200thisweekinourweeklyquiztextPLAYto85222nowTCsWinnersClubPOBOX84M263UZ16GBP150week
ham,Hesayshellgivemeacallwhenhisfriendsgotthemoneybutthathesdefinitelybuyingbeforetheendoftheweek
ham,HithewayIwaswithu2dayisthenormalwaythisistherealmeURuniqueIhopeIknowu4therestofmylifeHopeufindwotwaslost
ham,YoumademydayDohaveagreatdaytoo
ham,Kkadvancehappypongal
ham,HmmmGuesswecango4kbnpoweryogaHahadunnowecantahanpoweryogaanotThkgotloosoforgotliao
ham,Notreallydudehavenofriendsimafraid
spam,DecemberonlyHadyourmobile11mthsYouareentitledtoupdatetothelatestcolourcameramobileforFreeCallTheMobileUpdateCoFREEon08002986906
ham,Coffeecakeiguess
ham,MerryChristmastoyoutoobabeiloveyakisses
ham,HeyWhydontwejustgowatchxmenandhavelunchHaha
ham,cudutellpplimgonababitl8cos2buseshavgonpastcostheywerefullimstillwaitin41Petex
ham,ThatwouldbegreatWellbeattheGuildCouldmeetonBristolroadorsomewherewillgetintouchoverweekendOurplanstakeflightHaveagoodweek
ham,NoproblemHowareyoudoing
ham,Nocallsmessagesmissedcalls
ham,Hidahowisthetodaysclass
ham,Idsaythatsagoodsignbutwellyouknowmytrackrecordatreadingwomen
ham,Cooltextmewhenyoureparked
ham,ImreadingthetextijustsentyouItsmeanttobeajokeSoreaditinthatlight
ham,Kkapokgoodmovie
ham,MaybeicouldgetbookouttomothenreturnitimmediatelyOrsomething
spam,CallGermanyforonly1penceperminuteCallfromafixedlineviaaccessnumber08448618585NoprepaymentDirectaccess
ham,AnychanceyoumighthavehadwithmeevaporatedassoonasyouviolatedmyprivacybystealingmyphonenumberfromyouremployerspaperworkNotcoolatallPleasedonotcontactmeagainorIwillreportyoutoyoursupervisor
spam,ValentinesDaySpecialWinover1000inourquizandtakeyourpartneronthetripofalifetimeSendGOto83600now150pmsgrcvdCustCare08718720201
ham,TaDaaaaaIamhomebabeareyoustillup
ham,CoolSohowcomeyouhaventbeenwinedanddinedbefore
ham,Justsleepingandsurfing
ham,SorryIllcalllater
ham,UcallingmerightCallmyhandphone
ham,Okthatsgreatthanxalot
ham,ItakeittheposthascomethenYoumusthave1000softextsnowHappyreadingMyonefromwivhellocarolineattheendismyfavouriteBlesshim
ham,Whereubeenhidingstranger
ham,Amnotinterestedtodolikethat
ham,Mysisterclearedtworoundinbirlasoftyesterday
ham,Gudnitetcpracticegoingon
ham,DisisyijueIjussawurmailIncasehuiminghaventsentumynumDisismynum
ham,Onesmallprestigeproblemnow
spam,FancyashagIdoInterestedsextextukcomtxtXXUKSUZYto69876Txtscost150permsgTnCsonwebsiteX
ham,JustcheckinginonyouReallydomissseeingJeremiahDohaveagreatmonth
ham,NahcanthelpyouthereIveneverhadaniphone
ham,IfyourenotinmycarinanhourandahalfImgoingapeshit
ham,TODAYisSorrydayIfeveriwasangrywithyouifeverimisbehavedorhurtyouplzplzJUSTSLAPURSELFBcozItsurfaultImbasicallyGOOD
ham,YoyouguyseverfigureouthowmuchweneedforalcoholJayandIaretryingtofigureouthowmuchwecansafelyspendonweed
ham,ltgtISHMINUTESWAS5MINUTESAGOWTF
