Id,Name,PriorityScore,Remarks,Status
156,lda_iPhone_problem_week_box_original,0,"iPhone, problem, week, box, original, iPad, different, frozen, loyal, fan",0
157,lda_board_problem_note_occasion_update,0,"board, problem, note, occasion, update, topic, slow, personal, cover, easy",0
158,lda_star_app_problem_message_5,0,"star, app, problem, message, 5, couple, update, report, 4, Evernote",0
159,lda_forum_post_browsing_file_annoying,0,"forum, post, browsing, file, annoying, access, page, problem, great, auto",0
160,lda_bot_high_app_favor_great,0,"bot, high, app, favor, great, current, work, fan, guy, note",0
161,lda_file_zip_UltraViolet_document_bad,0,"file, zip, UltraViolet, document, bad, movie, regular, update, app, work",0
162,lda_app_cool_memory_favorite_free,0,"app, cool, memory, favorite, free, site, Dropbox, week, file, able",0
163,lda_function_search_photo_automatic_delete,0,"function, search, photo, automatic, delete, upload, accurate, feature, Update, intuitive",0
164,lda_bug_problem_app_pic_thing,0,"bug, problem, app, pic, thing, worth, style, edit, good, money",0
165,lda_notification_nice_app_problem_video,0,"notification, nice, app, problem, video, effect, random, good, camera, recording",0
166,lda_app_update_Evernote_problem_hang,0,"app, update, Evernote, problem, hang, new, folder, month, story, note",0
167,lda_day_close_1_time_update,0,"day, close, 1, time, update, Dropbox, crash, hard, messiah, current",0
168,lda_problem_issue_Pinterest_app_night,0,"problem, issue, Pinterest, app, night, pinning, timesbut, feed, error, 20",0
169,lda_update_late_problem_app_workout,0,"update, late, problem, app, workout, 60, software, background, border, country",0
170,lda_app_update_one_problem_new,0,"app, update, one, problem, new, Doesn, work, cut, paste, text",0
171,lda_problem_app_update_new_version,0,"problem, app, update, new, version, Don, specific, ppl, research, connectivity",0
172,lda_problem_app_device_fun_5,0,"problem, app, device, fun, 5, user, update, game, great, upgrade",0
173,lda_bad_awesome_problem_video_app,0,"bad, awesome, problem, video, app, version, late, use, UI, new",0
174,lda_App_time_problem_month_note,0,"App, time, problem, month, note, UPDATE, order, alphabetical, account, update",0
175,lda_file_issue_iPad_button_screen,0,"file, issue, iPad, button, screen, gray, comment, problem, time, xls",0
176,lda_game_hour_tablet_chance_refund,0,"game, hour, tablet, chance, refund, good, scenery, roam, right, problem",0
177,lda_problem_EN_tab_thing_search,0,"problem, EN, tab, thing, search, update, iPad, version, folder, key",0
178,lda_problem_reinstall_bit_app_update,0,"problem, reinstall, bit, app, update, video, uninstall, time, new, second",0
179,lda_problem_playlist_app_button_podcast,0,"problem, playlist, app, button, podcast, program, list, group, iphone, ad",0
180,lda_file_update_html_useful_unusable,0,"file, update, html, useful, unusable, Dropbox, page, option, source, thank",0
181,lda_current_app_Evernote_ver_location,0,"current, app, Evernote, ver, location, past, unable, late, bug, year",0
182,lda_time_problem_fix_bit_Update,0,"time, problem, fix, bit, Update, whatsapp, slow, busy, hope, grand",0
183,lda_note_version_Evernote_problem_app,0,"note, version, Evernote, problem, app, paragraph, design, section, guy, feature",0
184,manual_Apple,0,"ios, iphone, ipad, ipod, macbook, itune, itunes, air, airpod, mac",0
185,manual_Tripadvisor,0,"tripadvisor, tripadisor, trip, trips, advisor, travel, stay, hotel, traveler, tourist",0
186,manual_Pinterest,0,"pinterest, pin, pinned, idea, board, pintrest, pinning, visual, fashion, repin",0
